S/N	pos	Crack_Pressure_Cycle1	Crack_Pressure_Cycle2	Crack_Pressure_Cycle3	Crack_Pressure_Cycle4	Crack_Pressure_Cycle5	Crack_Pressure_Cycle6	Crack_Pressure_Cycle7	Crack_Pressure_Average	Reseat_Pressure_Cycle1	Reseat_Pressure_Cycle2	Reseat_Pressure_Cycle3	Reseat_Pressure_Cycle4	Reseat_Pressure_Cycle5	Reseat_Pressure_Cycle6	Reseat_Pressure_Cycle7	Reseat_Pressure_Average	Flow	Flow_Pressure	Error
27.02.2023	c/222533_LS1230106_2.csv	Hieke	222533	1230106	2
330469	1	1.950742	1.947715	1.95377	1.950742	1.956796	1.956796	1.956796	1.953769	1.882402	1.876348	1.879375	1.879375	1.879375	1.882402	1.879375	1.879375	8.070514	2.496953	
330470	2	1.968906	1.968906	1.956796	1.95377	1.956796	1.95377	1.95377	1.957301	1.870293	1.882402	1.876348	1.87332	1.87332	1.879375	1.882402	1.877861	8.05769	2.618047	
330471	3	1.959824	1.962851	1.959824	1.962851	1.965879	1.965879	1.962851	1.963356	1.803691	1.797636	1.794609	1.800664	1.800664	1.800664	1.800664	1.79915	8.074787	2.524199	
330472	4	1.99918	1.993125	1.996152	1.959824	1.993125	2.020371	2.005234	1.994638	1.888457	1.885429	1.882402	1.882402	1.882402	1.882402	1.882402	1.882907	8.056624	2.539336	
330473	5	1.962851	1.965879	1.965879	1.968906	1.968906	1.965879	1.962851	1.966384	1.882402	1.882402	1.879375	1.879375	1.879375	1.882402	1.879375	1.880384	8.081197	2.563554	
330474	6	1.962851	1.968906	1.965879	1.965879	1.968906	1.968906	1.968906	1.967897	1.867266	1.855156	1.840019	1.836992	1.836992	1.824882	1.82791	1.836992	8.087606	2.533281	
330475	7	1.971933	1.974961	1.971933	1.971933	1.971933	1.965879	1.968906	1.970924	1.879375	1.879375	1.882402	1.879375	1.879375	1.876348	1.879375	1.879375	8.080128	2.54539	
330476	8	1.965879	1.968906	1.971933	1.974961	1.959824	2.014316	2.026426	1.986061	1.894512	1.888457	1.888457	1.879375	1.87332	1.879375	1.882402	1.881898	8.073717	2.593828
